name,blurb,goal,campaign_duration,latitude,longitude,category,subcategory,outcome,days_to_success
BIG IRON: Animated crime-drama series for YouTube,"COLLECTEMS: BIG IRON, a psychedelic 60s-set crime-drama series inspired by Twin Peaks, Breaking Bad and Fargo - made for YouTube!",23000,40,30.22409,-92.019843,film & video,webseries,0,0
POWER JACKET BY ELI GRITA,"""It's more than a jacket, it's about power""",20000,29.99434028,48.856614,2.352222,fashion,couture,0,0
Radiance Case,The First Programmable LED Smart Case for iPhone and Android,30000,59.95833333,34.052234,-118.243685,technology,gadgets,0,0
"Merci-Motard & Thanks-motorcyclist, l'esprit motard !!","Nous sommes souvent mal compris par les autres usagers de la route, cet accessoire montrera et exprimera mieux notre remerciement.",10000,30,47.619788,6.15428,technology,wearables,0,0
LGBTTTIQ en pantalla,"Serie de cortometrajes creados por miembros de la comunidad LGBTTTIQ con temÃ¡tica LGBTTTIQ, dar voz y espacio mediÃ¡tico a la comunidad.",100000,60,21.019015,-101.257359,film & video,narrative film,0,0
"Hand knitted dice bag, scarf, toy and much more- 4 days left",I want to combine knitting with crocheting to create a wonderful scarf for my customers.,40,30.04166667,34.101487,-84.519375,crafts,knitting,0,0
Fungi Metropolis,My neo futuristic vision is to create an architectural paradise thriving with fungi ~,5000,30.04166667,51.380952,0.52213,art,installations,0,0
The Older Brother Podcast,5-minute podcasts that give you life lessons about topics that no one ever teaches you. These lessons come from real life stories.,3000,30,40.56217,-111.929658,journalism,audio,0,0
High quality crochet folding fans,I want to create high quality fans using more durable bamboo/wooden framing. I would also like to create more elaborate fans.,600,30,43.190471,-112.344977,crafts,crochet,0,0
Damn Broads! Hoodies For Tour,"We give you hoodies, you give us a tour!",1500,15,41.800305,-73.121172,music,punk,0,0
The Complete Homilies of Blessed Oscar Romero: Volume 2,This is a Series of 6 Books on Blessed Oscar A. Romero`s Writings. This Project will help to pay the translation costs of Volume 2.,4400,40,25.76168,-80.19179,publishing,translations,0,0
50 States: 1 Nation.,The history and cultural heritage of The United States through architecture and historic monuments in all 50 states and Washington D.C.,20000,59.95833333,38.907192,-77.036871,journalism,photo,0,0
Facade,"When Dr. Casandra Lakes former patient asks her help to find her missing daughter, she must answer the question 'What is a life worth?'",250000,60,31.171293,-84.733253,film & video,thrillers,0,0
DISGO: Discover and Go,"DISGO is a social platform that simplifies planning and booking events and travel, while connecting users with new experiences & people",20000,30,32.776664,-96.796988,technology,apps,0,0
Pyrenees Pork,A best practice 2800 head deep litter piggery to grow out pigs in an environment imitating the pigs' natural habitat.,550000,30,-36.99483,143.193479,food,bacon,0,0
Robert Morrison's Worship Album #2,"Looking to raise funds in order to help record the follow up to my 2014 album ""Never Cease to Praise."" Hope to see it in early 2016!",1200,30,35.227087,-80.843127,music,faith,0,0
'In our Dreams' by Aim to Fly,We are asking for Â£2500 to fund Research and Development of an inclusive aerial arts touring show.,2500,60,51.507218,-0.127586,dance,performances,0,0
HEAVY IS THE HEAD...,Creative therapy beautifully & poetically crafted to inspire.,3500,29.10203704,37.029869,-76.345222,publishing,art books,0,0
Fabulous Foyer - where? At the Court Theatre in Christchurch,"Host a special event in your home, collect donations and turn containers in the foyer to a comfortable welcoming place to sit & chat!",8000,30,-43.532021,172.630559,theater,spaces,0,0
"Swingin' in St. John's 12"" Vinyl Record LP - Hamilton Fringe","""Swingin' in St. John's"" (the Musical) Original Cast Recording. We are raising money to print 300 vinyl LP's in time for opening night.",2500,30.5447338,43.255721,-79.871102,music,comedy,0,0
The Positation Movement,The Positation movement is a simple systematic program designed to target one's heart and mind; nourishing seeds of empowerment and joy,18000,34.05850694,41.060222,-111.971053,crafts,printing,0,0
Properties! A Political Play,The most riveting political drama set in a local bar that there ever was! A grassroots theater production based in Maryland.,1500,19.04699074,39.414269,-77.410541,theater,comedy,0,0
Wildfire Gallery - Travelling Art Gallery,"Giving artists a platform, engaging communities and challenging concepts of the art gallery.",6000,30,51.507218,-0.127586,art,social practice,0,0
Irish Fresh Air Bottled..!,"Need a Bit of Cop On, the Gift of the Gab or simply some Irish Fresh Air? We bottle these unique Irish qualities for you.",5000,45.05697917,52.654145,-7.244788,crafts,glass,0,0
Water Pipe Stands,Show off your glass with a stylish and protective hardwood stand - as unique as your piece is.,2000,25,32.222607,-110.974711,crafts,woodworking,0,0
Coyotea - Bottled Sleep Tea,Organic tea to promote sleep - created by veterans seeking a natural sleep aid after returning from war,100000,30,38.907192,-77.036871,food,drinks,0,0
Big Blender Channel: Biggest Blender on YouTube,"Finally, the Biggest Blender on YouTube. BigBlender.ca wants to create the best blending destruction content online.",800,30,49.895136,-97.138374,film & video,experimental,0,0
"1/3,5 Scale PZL130 ORLIK TC-II Turboprop RC Plane prototype","A very accurate 1/3,5 scale version of the Polish PZL130 ORLIK TC-II Turboprop trainer aircraft. Vacuumbagged fiberglass construction.",100000,30,59.732463,9.868055,technology,flight,0,0
Futura & Avenir / Shirt & Buch,Futura & Avenir / Shirt & Buch. Paul Renner & Adrian Frutiger â€” 60 Jahre Schriftgeschichte / Itâ€™s all about the details! And devotion.,13900,32.21350694,50.937531,6.960279,design,typography,0,0
"""Conservatively Unplugged!"" A Political Comedy News TV Show","""CONSERVATIVELY UNPLUGGED!"" (AKA #KindaPolitics ) a NEW Weekly Comedic Political News Entertainment Show"". ""Right"" on Time for 2016!",25000,32.99284722,34.052234,-118.243685,film & video,television,0,0
Automatic Instruments The HAND fuzz guitar effects pedal,"I'm making a batch of my Automatic Instruments The HAND silicon fuzz pedal.  This pedal is hand made in Chicago, Illinois.",2500,30,41.878114,-87.629798,technology,hardware,0,0
aquaponics; free food for everyone,i want to start a nonprofit project to feed people fresh fruits and vegetables using aquaponics,5000,30,29.951066,-90.071532,food,vegan,0,0
"SocialEduc, Eduquer par les rÃ©seaux sociaux","CrÃ©er une plateforme de cours (en BD) en ligne Ã  partir de vidÃ©os, images ou textes pour Ã©duquer les jeunes sur les rÃ©seaux sociaux.",75000,30,40.061426,-87.638077,comics,webcomics,0,0
Andromeda Speaks: A Feminist Literary Magazine,Andromeda Speaks is a feminist literary magazine dedicated to redefining what it means to be female or feminine today.,1500,30,40.193377,-85.38636,publishing,literary journals,0,0
TrustyTraitors printerfund,Turning ingame models into real world objects.,1500,30,49.282729,-123.120738,technology,3d printing,0,0
Neck Ties for Dogs and Cats,Super Fun & Adorable Neck Ties for Dogs and Cats that can be easily looped through your pets existing collar or our sleek shirt collars,75000,45,34.170561,-118.837594,fashion,pet fashion,0,0
MisSpelled: A Fantastical Witchy Web Series,After mysteriously getting powers (and an accidental homicide) five girls will have to band together in order to correct their wrongs.,75000,30,34.052234,-118.243685,film & video,fantasy,0,0
Micro TIG welding fixture plate,A lightweight and portable fixture plate for every TIG welder.,999,60,41.765804,-72.673372,technology,fabrication tools,0,0
Traditional Moroccan Tagine made by Traditional hand Crafts,"Moroccan Tagine hand-crafted in Marrakesh Medina, very common in Morocco, usually used to prepare the different recipes of Tajine.",10000,15,45.703269,3.344854,crafts,pottery,0,0
"""American Boy"" - Feature Film on Social Change","In trying to find his true purpose, a medical school student becomes the mayor of the city he once lived in.",150000,45,39.290385,-76.612189,film & video,movie theaters,0,0
Mobile BBQ food truck to start sharing the love of BBQ!!,Share the love of BBQ and Gods love at the same time!! To provide great tasting food that all our family and friends want to share!!,30000,60,35.46756,-97.516428,food,food trucks,0,0
Correction et Publication de â€œLâ€™Enfant des Ã‰toilesâ€,Une trilogie de romans pour jeunes adultes. Le premier tome est Ã©crit et Ã  besoin dâ€™Ãªtre corrigÃ© et revu par des pros.,7000,30,46.204391,6.143158,publishing,young adult,0,0
Chris Vickers Photography,I am working to become a successful portrait artist.  I use my camera to paint beautiful images that can become artwork for clients,3500,30,36.850769,-76.285873,photography,fine art,0,0
"The People of Newcastle, England and their stories.",Everyone in their city has a story. My project will involve photographing strangers in my City and asking for their story.,5000,30,54.978252,-1.61778,photography,people,0,0
Kick Start TEANEVA's 1st EP,"A Ambitious,Bubblicious Sister Pop/R&B duo who desire our original music: Copy Written & Professionally Recorded for a smashing 1st EP!",10000,59.95833333,43.073052,-89.40123,music,pop,0,0
The Digital SpeedPaint Project,This Project is to get Digital Painters who do videos to pass a piece of work from vlogger to vlogger to keep a work of art going.,3000,30,38.833882,-104.821363,art,digital art,0,0
Accents Film Festival,"AFF will create an online platform for filmmakers who live/work outside their home country. If you love world cinema, support AFF!",50000,60,51.507218,-0.127586,film & video,festivals,0,0
Help Me Expand My Home Bakery,Expanding  my home bakery and treat shop into something greater. Would love for you to become apart of my dream.,10000,19.29314815,34.699258,-86.748332,food,restaurants,0,0
Partisan Periodical,This is the first installment of a quarterly arts periodical based out of Partisan Gallery in San Francisco.,5000,30,37.774929,-122.419415,publishing,periodicals,0,0
"The Bespoke Collection, Handmade Fine Jewelry.",Carved gold and gemstones forged together in the Bespoke Collection by The North Way Studio.,17000,30,43.038902,-87.906474,fashion,jewelry,0,0
"""MEMBA FESTIVAL""",Poner en marcha un festival dance en la ciudad dÃ³nde vivo.,70000,60,37.840517,-1.108436,music,electronic music,0,0
Help 11-Year-Old Entrepreneur Make Every Day A Cookie Day,11-year-old Cory Nieves launched Mr. Cory's Cookies at age 5. Now he wants to sell his amazing cookie dough online across the country!,75000,30,40.892877,-73.972638,food,small batch,0,0
BE THE HERO OF YOUR OWN STORY,Un site pour commander sa propre histoire.,7000,35,48.856614,2.352222,publishing,literary spaces,0,0
Photos From The Soul,To capture the powerful essence and color of emotion from all around us.,3200,30,50.203503,-100.041991,photography,places,0,0
Ceramics Studio,I am a potter currently seeking to free myself of the time and space constraints of taking classes at facilities with set times.,1700,60,43.646227,-72.41861,art,ceramics,0,0
Under The Big Top Dance,"Under The Big Top Dance combines the world of dance and the exciting world of the circus into a fun-filled, fast-paced dance experience",25000,30,36.267579,-94.48466,dance,spaces,0,0
Tales of Scales: A Creative Anthology,"Short stories, poetry, artwork and photography from creative and passionate professionals all bound together in a fantastical anthology",1100,29.95833333,51.899386,-2.078253,publishing,anthologies,0,0
ArduLEG-Open robot platform Arduino based Android controlled,Learn electronics and robotics with fun. A hexapod robot with lots of sensors. Android remote controlled or even autonomous.,66000,29.90945602,41.008238,28.978359,technology,robots,0,0
Monstrously Queer Comic Anthologies!,Two new monster themed queer comics anthologies from Pocket Bear Press! A spotlight on trans masculine creators and a monster romance!,8000,30.04166667,42.450085,-73.245382,comics,anthologies,0,0
King's Kingdom UK,"We will be creating fantastic scents with a majestic vibe, we will also produce candles and soaps in the future.",50000,60,51.507218,-0.127586,crafts,candles,0,0
oud ijzer als mobilair,Jongeren interesseren in techniek door ze gratis te laten oefen met lassen slijpen en andere technische aspecten.,50000,30.04166667,52.22917,5.166897,design,civic design,0,0
Rev-Up Rebel Regalia,Help me help my community by developing an embroidery business that will facilitate personalized spirit wear/business pride,14300,30.04166667,38.00809,-92.744629,crafts,embroidery,0,0
ArtYoutube. Art inspired in Youtube,Many popular videos have inspired me in creating my paintings. If you like you can enjoy them at home!,1000,30,39.5696,2.65016,art,conceptual art,0,0
Where's Bob?,"From a loved saying in our family 'Where's Bob?"" we want to bring Bob to everybody, and have more than one Bob character!",400,20,-45.247865,169.384369,fashion,ready-to-wear,0,0
A Night at the Circus,"Join us for a Night at the Circus: A Night of Food, Music & A Guaranteed Fun Time. Help raise the money for this one night only event!",2500,29.89953704,34.052234,-118.243685,theater,musical,0,0
Different Business Cards Design for Different Persons,Design business cards for different people. Each of you will receive a unique business card! (both for personal or professional use),150,12.38084491,45.052237,7.515389,design,graphic design,0,0
Popklore,Popklore difunde la mÃºsica folclÃ³rica fusionando la mÃºsica  POP con ritmos tÃ­picos del continente americano.,62000,40,30.840634,-115.283759,music,world music,0,0
"""Writing Fren-Zee"" on DVD, at long last!","""Writing Fren-Zee"" is our third feature. We've done a complete re-edit and added a brand new score. Help us get it on DVD!",700,31.74474537,32.222607,-110.974711,film & video,comedy,0,0
Dragon Quest Live,The music from the complete Dragon Quest Series by composer Kiochi Sugiyama played with a professional orchestra.,14000,30,38.907192,-77.036871,music,classical music,0,0
DreamCatcher Society,I make these super awesome DreamCatchers that are from my heart of hearts. They call to the Soul that is meant to Liberate them.,4500,21,43.653226,-79.383184,crafts,weaving,0,0
Puzzle Card - Greeting Cards with an added challenge!,Puzzle Card adds a puzzle or gaming element to birthday cards.  The first one requires users to solve clues in order to escape the room,125,29,51.454513,-2.58791,crafts,stationery,0,0
MishMesh - Cell Phone Service Reinvented,MishMesh is professional grade software that takes advantage of inherent cellular infrastructure.,50000,30,33.748995,-84.387982,technology,software,0,0
"Allergen-Free, Gluten-Free Skincare for Babies and Kids","We are creating an allergen-free, gluten-free, ethically formulated skincare for people with autoimmune diseases and allergies.",50000,60.04166667,42.283079,-87.95313,fashion,childrenswear,0,0
Memories Forgotten but not Lost,A hybrid mini series of action adventure and comedy about 4 kids playing Dungeons and Dragons all for different reasons...,1000,60,55.342222,-131.646111,film & video,action,0,0
Resiliency Magazine: For Our People by Our People,"A platform that will serve as knowledge, inspiration and empowerment for Black and Brown voices.",8500,59.56277778,40.712775,-74.005973,publishing,zines,0,0
A Wish For Giants,I published a book that has done well. The community would love to see it made into a film.,3000,30,40.816453,-79.521989,film & video,family,0,0
"""Far Away Angel"" - ROUND 2","""Far Away Angel"" music video Round 2",500,25.66928241,33.952602,-84.549933,film & video,music videos,0,0
Captain Trump and His Magical Golden Shower,Book #2 of the Cleveland Steamer and His Faithful Dog Blumpkin epic.,8500,30,34.420831,-119.69819,publishing,comedy,0,0
The Grigori,"Angels come to Earth in human disguise to deceive mankind, rule the Earth as gods, create a hybrid army & destroy all who oppose them.",20000,23.29438657,40.11642,-88.243383,film & video,animation,0,0
Soules Chapel,A film detailing the events of a Satanic Cult in a small rural town in Kentucky during the early 1900s.,5000,60,37.703065,-85.864941,film & video,horror,0,0
Interactive Mobile Black Doll and History Exhibit,Mobile Black Doll and History Exhibit,12000,60.04166667,30.267153,-97.743061,art,public art,0,0
Preserved Flower Car Fragrances,Best Gift Ever-Chirstmas is coming~,10000,15,22.258759,114.19107,crafts,diy,0,0
A Vegetarian hand lettered ABC cookbook,A Vegetarian hand lettered and illustrated ABC cookbook for children and adults alike that doesn't use an oven,10000,30,40.712775,-74.005973,food,cookbooks,0,0
waveBlend: Whole House Audio,"Enjoy whole house audio using your home network and current audio systems. No subscriptions, master unit, or crappy built-in speakers.",54000,59.95833333,40.477482,-104.901362,technology,sound,0,0
Anburu Lil Kum Ba,Looking to finish production on our debut album and produce our Tshirts and other merchandise.,4000,35.89991898,40.75839,-82.515447,music,metal,0,0
Martrell Webb presents: Anti-gun violence SOULFUL SHOWCASE!!,"As an actor and screenwriter who grew up in Aurora, Iâ€™ve noticed a lack of showcases for young artists, especially Neo-Soul musicians.",500,30,41.760585,-88.320072,music,r&b,0,0
Slow Fiction: Worldâ€™s first 3D Graphic Novel. Be part of it.,Help to fund the worldâ€™s first 3D Graphic Novel and in return you get to appear in one of the stories.,6000,30,51.507218,-0.127586,art,sculpture,0,0
Etrade Wizards: A new community for company buzz,A community to stay in the know about some of the more exciting and trendy companies who capture much attention in the trading world.,6398,14.04166667,36.169941,-115.13983,design,interactive design,0,0
Project Mold = A breakthrough in thingamajig production,3D printing makes 1 prototype thingamajig.   Silicone molds make 1000 production thingamajigs.  Project Mold makes silicone molds easy!,5000,45,39.739236,-104.990251,technology,makerspaces,0,0
Quilts from mother and son,I am starting this with my son it is something we can do togeither so we can have a better life thank you,10000,28.13324074,36.509212,-86.884998,crafts,quilts,0,0
D&R Music Live Room Build,"I Love God, my Family, and Music. Located in a Chicago Suburb, Joliet, Extending my humble Pro Home Studio by adding a Live Room!",7000,30,41.525031,-88.081725,music,latin,0,0
glasshour,"The first ever anti-cafe in the United States - great place to work, play and chill.",10000,30,40.678178,-73.944158,food,spaces,0,0
VIVAfit's Summer Youth Program Level 1,"Help us with Infrastructure- flooring, computers, software, chairs, equipment, contracts for instructors, securing venue & vehicle",45000,60,33.77005,-118.19374,dance,workshops,0,0
The Haven Bookstore Fund,"A bookstore like no other. This will be a place for nerds, geeks, gamers, students and all others to meet where they feel comfortable.",8000,60,30.332184,-81.655651,comics,events,0,0
Javier & The Innocent Sons make a record,The Sons are FINALLY making a new record.  More Blues than the last one but still some Rock-A Billy and a waltz.,3000,30,44.977753,-93.265011,music,blues,0,0
Patitas,La extinciÃ³n de la humanidad,90000,30,19.496873,-99.723267,comics,graphic novels,0,0
Waballoony Bag,A glow in the dark multi water balloon holder backpack with shield and a protector pad.,10800,31.50341435,32.776664,-96.796988,design,toys,0,0
Life Lemons,Trying to get few laughs in the world and maybe get people more determined to succeed from recent failures.,1000,30,51.507218,-0.127586,food,events,0,0
"CRISM- Funding for ""Art In The Form Of Hip-Hop"" EP!","""Art In The Form Of Hip Hop"" is the EP I am currently trying to get off the ground. It will be an EP with excellent music for the world",3000,30,36.737798,-119.787125,music,hip-hop,0,0
The living and the dead,TLATD will be a mobile mmorpg. Zombies vs humans. You will build your own grand empire. Will you kill zombies or will you eat humans,30000,60.04166667,52.221537,6.893662,games,mobile games,0,0
Fund A Film About God's Definition of True Love - Destiny PM,"Destiny PM was given to me by divine inspiration by God.  He has a message of wisdom to men to recognize how precious ""True Love"" is",650000,30,35.77959,-78.638179,film & video,romance,0,0
Halfacre Farm Chicken Ranch Expansion,"Your investment returned in fresh chicken! Receive your money back as a credit towards fresh chicken, KS special price $3/lb.",5500,32.07450231,41.475546,-93.67883,food,farms,0,0
"Project Foregone, but Not Forgotten","A photo book celebrating individuals who have made significant contributions to our lives, society, and mankind.",16500,30,33.800571,-118.390074,photography,photobooks,0,0
The Tibet Connection,"The Tibet Connection is the only English language public radio program about the people, culture, politics and religion of Tibet.",30000,30,34.052234,-118.243685,publishing,radio & podcasts,0,0
Q â€“ The Film,A journey through decay and chaos on an eye-opening trip to the inner self â€” To be shot in Iceland & Germany on ARRI Amira.,11000,30,64.146582,-21.942635,film & video,science fiction,0,0
Smash Stick - The Analog Arcade Stick,"The first arcade stick designed for both platform & traditional fighting games. Analog, Ergonomic, Cross-Platform.",55000,35,28.538383,-81.378927,games,gaming hardware,0,0
â‹FLORACLEâ‹,a plant magic oracle deck by Lindsey Strong,10000,34.45162037,45.515232,-122.678385,games,playing cards,0,0
A Basset A Day,Who can ever get enough of these loveable goofy Hounds? Help us create a webpage that will feature a new photo of a Basset Hound daily!,2400,21,49.050438,-122.30447,photography,animals,0,0
Burlesque in Bend,All that Glitters Burlesque would love to bring burlesque classes to Bend but we need your attendance to make it happen!,3157,60,44.058173,-121.31531,dance,residencies,0,0
FERNA | LUXURY ITALIAN FASHION,Men's and Women's 'Made in Italy' fashion brand designed by the best fashion designers from all around Italyâ€™s major fashion hubs.,20000,30.27188657,44.647128,10.925227,fashion,apparel,0,0
3D Printed Love Letters,"Unique 3D printed love letter, with a red heart shape dish and 'I love you [name of your choice]' printed around the edge",3000,15,51.430921,-0.09365,publishing,letterpress,0,0
Wolf & Raven: A Feature Length SNES Inspired 16-Bit OST,"One Man's dream to finish a feature length original soundtrack in 16-bit. Inspired by Chrono Trigger, Final Fantasy, Kirby and more!",12000,30,41.088707,-74.013473,music,chiptune,0,0
CaptainsCuriosities Taxidermy animal art,"Creating beautiful and unique statement pieces with the use of taxidermy, skulls and ornate frames.",300,30,50.813784,-0.386328,crafts,taxidermy,0,0
"Talia - Audiodrama Album, Performance and Film","A hypnotic spoken word meta-narrative and a journey across many musical genres. Presented as album, stage performance and film.",9000,30.04166667,40.712775,-74.005973,theater,experimental,0,0
MiniVibez Childrens Radio - Be A Kid... Its OK,"MiniVibez Radio is based on the concept of entertaining and educating children of all ages, particularly in early learning stages",5000,30,45.501689,-73.567256,music,kids,0,0
The release of the Maniac Circus Pilot episode,My original cartoon about a circus full of patients who have escaped an insane asylum and their enigmatic leader Dr. Stabkill,15000,30,30.438256,-84.280733,art,video art,0,0
Brian Pulido's Newest: Lady Death: Treacherous Infamy #1!,The EVIL Within -- UNLEASHED! The 12th Chapter in Lady Death's Coffin Comics saga!,15000,29.95834491,33.448377,-112.074037,comics,comic books,1,29.95834491
The Sentient Selection - 50 Sentient Magic Items,"The Sentient Selection is the deck to really bring items to life in your fantasy worlds, with lots of personalities.",2500,15,35.221997,-101.831297,games,tabletop games,1,15
Moody Halloween Enamel Pins,Moody animals having to deal with Halloween plus some spooky cuties!,350,10.125,1.352083,103.819836,art,illustration,1,10.125
Series of Area 51 Games,We are developing a series of games that take place at Area 51 where the player will uncover the secrets hidden inside the base.,50,11.1103588,35.595058,-82.551487,games,video games,1,11.1103588
Princess Or...,Need help printing and marketing a book for young girls inspired by my daughter.,17900,30,39.758948,-84.191607,publishing,children's books,1,30
Ending Soon! Horween and Cordovan Watch Straps From USD36,"Get a well made leather watch strap and never worry about watch straps breaking apart again! Durable, long-lasting and affordable too!",2000,14,1.352083,103.819836,fashion,accessories,1,14
Good Heart: A Novel,"The story of a horse, an orphan, demons, and a cowboy out of place.",500,30,33.748995,-84.387982,publishing,fiction,1,30
"Book Shops, Treating People Right & A Book On Roman Britain","Publishing books, opening a bookshop and doing it while trying not to turn into a ****",1005,38.29760417,51.507218,-0.127586,publishing,nonfiction,1,38.29760417
Jenny Shawhan's First Album: Don't Be Afraid,"Embracing the journey with songs of truth, empowerment, and fun.",7500,21,39.739236,-104.990251,music,country & folk,1,21.00001157
A Tree in the Winter,"Story about a long distance relationship and the struggles and strain it causes on two people, no matter how much they love each other.",2500,30,34.052234,-118.243685,film & video,shorts,1,30
The Camelot Project,"Camelot is a creative documentary film about the aspirations of boys in the Upper Rhymney Valley, Caerphilly",3500,26.99076389,51.660446,-3.217872,film & video,documentary,1,26.99079861
Crunchy Case - lightweight protection for your good stuff.,"Back scientific research in air pollution, get a brilliant new snack and gear box in three sizes and seven colors.",1600,30,39.755543,-105.2211,design,product design,1,30
La ruta de los peces /CD de Ana DÃ­az,"Estamos en la recta final para lanzar el nuevo disco, La Ruta de los Peces New album release by mexican singer and songwriter AnaDiaz!",90000,52.52503472,17.073184,-96.726589,music,indie rock,1,52.52503472
PrairyErth,An instrumental rock album.,1000,29.66056713,39.739236,-104.990251,music,rock,1,29.66056713
Impact 22 with Taneycomo,Encouraging veterans and their families that suicide does not need to be the answer to deal with their PTSD.,5500,29.47956019,36.643673,-93.218514,film & video,drama,0,0
UNITE BUSINESS LGBT MAGAZINE,UNITE Business is a publication for LGBT business owners and corporate allies and features a variety of editorial content.,10000,30,36.162664,-86.781602,journalism,print,0,0
1st and Goal!!!  Publishing THE OTHER SIDE OF HAVING VOL1,"The Other Side of Having VOL l, expresses the bittersweet side of caring in such a way, that you'll want to read it again and again:)",4360,34.54763889,39.028444,-76.601354,publishing,poetry,0,0
Sam-O Family Fun Games,Sam-O Family Fun Games transforms your old Corn Hole board into exciting new games for your whole family. Everyone can play!,6000,30,35.108493,-77.044114,games,live games,0,0
Set of 10 Picture Post Cards,"Sets of 10 Picture Postcards from the many pictures I have taken with my drone and other cameras, total of 250 sets top be produced",1500,29.95833333,45.910232,-92.955207,photography,nature,0,0
WIDGEDUINO,"Add User Friendly Widgets to Arduino or any other Microcontroller (i.e. PIC, Atmel, PSoC, AVR, ARM) based Systems",2200,30,51.317057,-0.566658,technology,diy electronics,0,0
Paper Sky Theatre Summer Shakespeare,"Paper Sky Theatre needs your help to launch the inaugural season of its Summer Shakespeare Theatre Festival in Grove City, Pennsylvania",6000,30,41.157838,-80.08867,theater,festivals,0,0
Journalistic Masterpiece,"Creating handmade journals to weave a bit of myth, meaning, & magick into your creative life with sticks, hook, & string.",3500,45,37.540725,-77.436048,art,textiles,0,0
